Comment,Designator,Footprint,LCSC Part #
C_0.1u,"C101, C201, C202, C203, C301, C302, C303, ",0805,C28233
LED,"D101, D102, D103, D104, D105, D106, ",0805,C2296
R_15k,"R101, ",0805,C17475
R_4.7k,"R102, ",0805,C17673
R_10k,"R103, R109, R110, R111, R112, R114, R115, R202, R302, ",0805,C17414
R_750,"R104, R105, R106, R107, R108, R113, ",0805,C17818
R_200,"R201, R203, R301, R303, ",0805,C17540
