Time since launch(ms),X Acceleration (m/s),Y Acceleration (m/s),Z Acceleration (m/s),Altitude (m),Pressure (Pa),Temp (F),Filtered Altitude (m)
59,-11.924887657165527,2.6674089431762695,-30.792882919311523,281.9471740722656,343.75,82.51249694824219,0.0
85,-11.924887657165527,2.6674089431762695,-21.417724609375,292.60992431640625,356.75,82.0625,0.0
116,-12.630966186523438,-3.9226601123809814,-2.941995143890381,286.4583435058594,349.25,82.17500305175781,0.0
146,-0.353039413690567,0.706078827381134,24.71276092529297,283.58758544921875,345.75,82.2874984741211,0.0
176,27.262489318847656,1.21602463722229,56.17249298095703,281.5370788574219,343.25,82.2874984741211,0.0
207,-0.8237586617469788,3.8049802780151367,19.103355407714844,287.68865966796875,350.75,82.17500305175781,0.0
237,-30.361391067504883,0.509945809841156,-31.73431968688965,285.0229797363281,347.5,82.2874984741211,0.0
268,-19.691755294799805,4.236473083496094,-62.68410873413086,287.68865966796875,350.75,82.2874984741211,0.0
298,-17.06357192993164,0.706078827381134,-32.636531829833984,284.8179016113281,347.25,82.2874984741211,0.0
328,-13.88621711730957,-3.0596749782562256,7.021561622619629,281.1269836425781,342.75,82.4000015258789,0.0
359,9.257478713989258,0.11767980456352234,38.24593734741211,279.4865417480469,340.75,82.4000015258789,0.0
389,20.947006225585938,7.884546756744385,32.51885223388672,282.3572998046875,344.25,82.4000015258789,0.0
420,0.6276256442070007,3.373487710952759,1.2552512884140015,280.5118103027344,342.0,82.51249694824219,0.0
450,-21.339271545410156,-6.433162689208984,-25.536518096923828,284.4078063964844,346.75,82.4000015258789,0.0
480,-14.43539047241211,-8.590625762939453,-26.634862899780273,284.2027587890625,346.5,82.4000015258789,0.0
511,-7.6491875648498535,-6.903882026672363,-17.769649505615234,282.9724426269531,345.0,82.4000015258789,0.0
541,-2.549729347229004,-3.0596749782562256,-6.0016703605651855,279.281494140625,340.5,82.51249694824219,0.0
572,-3.0989015102386475,-3.4127144813537598,1.7259705066680908,278.87139892578125,340.0,82.51249694824219,0.0
602,-2.824315309524536,-5.84476375579834,4.471832752227783,280.5118103027344,342.0,82.51249694824219,0.0
632,-0.47071921825408936,-7.29614782333374,1.0591182708740234,281.5370788574219,343.25,82.4000015258789,0.0
663,-1.2944778203964233,-2.6674089431762695,3.255808115005493,280.3067626953125,341.75,82.51249694824219,0.0
692,-4.275699615478516,-5.256364822387695,7.335374355316162,279.89666748046875,341.25,82.51249694824219,0.0
723,-3.9618868827819824,-8.080679893493652,8.74753189086914,279.0764465332031,340.25,82.51249694824219,0.0
753,-2.1966896057128906,-3.255808115005493,7.060788631439209,277.84613037109375,338.75,82.51249694824219,0.0
783,-4.079566478729248,-2.5889556407928467,10.51272964477539,280.1017150878906,341.5,82.51249694824219,0.0
814,-3.5303943157196045,-4.079566478729248,9.806650161743164,280.1017150878906,341.5,82.51249694824219,0.0
844,-4.040339946746826,-2.6281824111938477,10.316596031188965,279.281494140625,340.5,82.51249694824219,0.0
874,-2.7458620071411133,-0.353039413690567,10.198917388916016,280.5118103027344,342.0,82.51249694824219,0.0
905,-2.824315309524536,-0.7845320701599121,9.571290969848633,279.4865417480469,340.75,82.51249694824219,0.0
935,-4.3149261474609375,-1.9613300561904907,7.845320224761963,282.3572998046875,344.25,82.4000015258789,0.0
965,-4.903325080871582,-1.8044238090515137,8.276813507080078,280.3067626953125,341.75,82.51249694824219,0.0
996,-6.315483093261719,-2.471275806427002,13.415497779846191,278.87139892578125,340.0,82.51249694824219,0.0
1026,-4.550285816192627,-0.31381282210350037,8.669079780578613,278.87139892578125,340.0,82.51249694824219,0.0
1057,-4.628739356994629,0.11767980456352234,10.43427562713623,279.4865417480469,340.75,82.51249694824219,0.0
1087,-3.687300682067871,1.019891619682312,9.453611373901367,279.281494140625,340.5,82.51249694824219,0.0
1117,-3.334261178970337,-0.19613301753997803,9.806650161743164,279.281494140625,340.5,82.51249694824219,0.0
1147,-3.373487710952759,-0.9806650280952454,8.708306312561035,277.2309875488281,338.0,82.625,0.0
1176,-3.6088476181030273,-0.6276256442070007,9.061345100402832,279.69158935546875,341.0,82.51249694824219,0.0
1206,-2.039783239364624,0.5491724014282227,10.316596031188965,280.9219055175781,342.5,82.51249694824219,0.0
1236,-3.255808115005493,-1.2552512884140015,10.120463371276855,281.74212646484375,343.5,82.51249694824219,0.0
1266,-3.5303943157196045,-1.7259705066680908,8.708306312561035,276.00067138671875,336.5,82.625,0.0
1297,-3.295034646987915,-0.39226603507995605,6.982335090637207,280.3067626953125,341.75,82.51249694824219,0.0
1327,-3.4519410133361816,-0.31381282210350037,4.628739356994629,278.87139892578125,340.0,82.625,0.0
1357,-2.7066357135772705,-0.509945809841156,0.5883990526199341,277.2309875488281,338.0,82.625,0.0
1387,-0.8629852533340454,-0.07845320552587509,7.609960556030273,277.84613037109375,338.75,82.625,0.0
1416,-2.549729347229004,0.4314926266670227,13.650857925415039,280.1017150878906,341.5,82.51249694824219,0.0
1446,-2.471275806427002,-1.7651971578598022,8.982892036437988,284.2027587890625,346.5,82.51249694824219,0.0
1476,-2.510502576828003,-0.19613301753997803,1.019891619682312,281.33203125,343.0,82.51249694824219,0.0
1505,0.19613301753997803,0.47071921825408936,22.908336639404297,278.4612731933594,339.5,82.625,0.0
1535,8.708306312561035,1.8828768730163574,19.495620727539062,280.1017150878906,341.5,82.51249694824219,0.0
1564,-1.3337044715881348,0.15690641105175018,4.589512348175049,280.1017150878906,341.5,82.51249694824219,0.0
1594,0.7453054785728455,-0.6668522357940674,9.414384841918945,282.9724426269531,345.0,82.51249694824219,0.0
1624,0.23535960912704468,-0.39226603507995605,9.139798164367676,279.89666748046875,341.25,82.625,0.0
1653,0.15690641105175018,-0.31381282210350037,8.982892036437988,281.74212646484375,343.5,82.51249694824219,0.0
1683,0.15690641105175018,-0.31381282210350037,9.061345100402832,277.43603515625,338.25,82.625,0.0
1712,0.15690641105175018,-0.27458620071411133,8.982892036437988,280.1017150878906,341.5,82.51249694824219,0.0
1742,0.11767980456352234,-0.31381282210350037,9.139798164367676,282.5623474121094,344.5,82.51249694824219,0.0
1772,0.11767980456352234,-0.353039413690567,9.139798164367676,281.33203125,343.0,82.51249694824219,0.0
1801,0.19613301753997803,-0.353039413690567,9.061345100402832,275.1804504394531,335.5,82.73750305175781,0.0
1831,0.19613301753997803,-0.31381282210350037,9.02211856842041,284.8179016113281,347.25,82.51249694824219,0.0
1861,0.15690641105175018,-0.31381282210350037,8.982892036437988,280.1017150878906,341.5,82.625,0.0
1890,0.11767980456352234,-0.27458620071411133,9.100571632385254,279.281494140625,340.5,82.625,0.0
1920,0.11767980456352234,-0.31381282210350037,9.100571632385254,275.5905456542969,336.0,82.625,0.0
1949,0.07845320552587509,-0.27458620071411133,9.061345100402832,276.4107666015625,337.0,82.625,0.0
1979,0.15690641105175018,-0.31381282210350037,9.061345100402832,279.0764465332031,340.25,82.625,0.0
2009,0.15690641105175018,-0.31381282210350037,9.061345100402832,275.5905456542969,336.0,82.73750305175781,0.0
2038,0.11767980456352234,-0.27458620071411133,8.904438972473145,277.43603515625,338.25,82.625,0.0
2068,0.11767980456352234,-0.31381282210350037,9.061345100402832,279.69158935546875,341.0,82.625,0.0
2097,0.15690641105175018,-0.353039413690567,9.061345100402832,277.84613037109375,338.75,82.625,0.0
2127,0.19613301753997803,-0.39226603507995605,9.02211856842041,277.6410827636719,338.5,82.625,0.0
2157,0.11767980456352234,-0.31381282210350037,9.29670524597168,278.4612731933594,339.5,82.625,0.0
2186,0.15690641105175018,-0.31381282210350037,9.100571632385254,277.2309875488281,338.0,82.625,0.0
2216,0.07845320552587509,-0.31381282210350037,8.943665504455566,279.89666748046875,341.25,82.625,0.0
2246,0.07845320552587509,-0.353039413690567,9.139798164367676,281.33203125,343.0,82.625,0.0
2275,0.15690641105175018,-0.31381282210350037,9.139798164367676,282.1522216796875,344.0,82.51249694824219,0.0
2305,0.11767980456352234,-0.31381282210350037,9.139798164367676,279.281494140625,340.5,82.625,0.0
2334,0.11767980456352234,-0.353039413690567,9.061345100402832,282.3572998046875,344.25,82.51249694824219,0.0
2364,0.15690641105175018,-0.353039413690567,9.100571632385254,278.0511779785156,339.0,82.625,0.0
2394,0.11767980456352234,-0.39226603507995605,9.139798164367676,281.33203125,343.0,82.625,0.0
2423,0.11767980456352234,-0.31381282210350037,8.982892036437988,279.69158935546875,341.0,82.625,0.0
2453,0.07845320552587509,-0.353039413690567,9.061345100402832,279.69158935546875,341.0,82.625,0.0
2483,0.039226602762937546,-0.31381282210350037,9.100571632385254,279.0764465332031,340.25,82.625,0.0
2512,0.07845320552587509,-0.353039413690567,9.02211856842041,281.1269836425781,342.75,82.625,0.0
2542,0.11767980456352234,-0.27458620071411133,9.100571632385254,280.71685791015625,342.25,82.625,0.0
2571,0.07845320552587509,-0.31381282210350037,9.061345100402832,282.5623474121094,344.5,82.51249694824219,0.0
2601,0.07845320552587509,-0.31381282210350037,9.061345100402832,279.0764465332031,340.25,82.625,0.0
2631,0.15690641105175018,-0.353039413690567,9.100571632385254,275.1804504394531,335.5,82.73750305175781,0.0
2660,0.11767980456352234,-0.353039413690567,9.02211856842041,278.0511779785156,339.0,82.625,0.0
2690,0.07845320552587509,-0.353039413690567,9.100571632385254,278.87139892578125,340.0,82.625,0.0
2719,0.11767980456352234,-0.353039413690567,9.061345100402832,278.6663513183594,339.75,82.625,0.0
2749,0.15690641105175018,-0.31381282210350037,9.100571632385254,279.69158935546875,341.0,82.625,0.0
2779,0.11767980456352234,-0.353039413690567,9.100571632385254,282.76739501953125,344.75,82.51249694824219,0.0
